merchant_id,business_type,registration_date,gst_status,volume_category
M6833A44E,wholesale,2021-08-23,unregistered,medium
M465B355D,wholesale,2023-07-04,registered,medium
M20BC5F8B,wholesale,2020-01-03,unregistered,high
MB8672FE5,wholesale,2022-11-29,unregistered,medium
M4AE280C0,service,2024-10-28,unregistered,low
M4BE31DE0,restaurant,2023-10-17,registered,high
M2EB623A8,online,2021-04-12,unregistered,medium
M8C0D5CBD,retail,2020-07-06,unregistered,medium
M4B88E1CD,retail,2024-01-10,registered,medium
MD77C9F97,service,2021-04-18,unregistered,high
M82C0ABB2,online,2021-09-22,registered,high
M8E41F551,wholesale,2022-09-09,registered,high
M4886CFE5,wholesale,2021-02-16,registered,high
M0CDED4BD,retail,2023-10-06,unregistered,low
M8B2CD40F,wholesale,2021-09-15,registered,medium
MF30D7E54,service,2022-06-21,unregistered,medium
M76977B05,wholesale,2021-01-30,registered,medium
MB7E18461,wholesale,2024-03-01,unregistered,high
MEDCA3C04,online,2021-11-14,unregistered,high
MEC973DCC,wholesale,2020-10-28,registered,medium
MB046BE76,service,2022-11-10,registered,low
M75B846E4,online,2024-07-24,registered,medium
MFB726936,service,2020-12-25,registered,high
MD725194F,restaurant,2021-02-28,unregistered,low
M54425C0A,restaurant,2020-04-16,registered,medium
MC250A81F,online,2023-12-14,registered,high
MD479E43A,wholesale,2024-05-14,registered,high
M68E6215C,online,2021-12-31,unregistered,high
M3C2B9AAF,restaurant,2022-10-29,unregistered,high
ME5BE44EE,online,2021-01-03,registered,high
M2F327A81,online,2022-08-27,unregistered,medium
M17A62DC8,retail,2021-10-16,registered,medium
MBEF143A4,wholesale,2020-10-25,unregistered,medium
MBBE62E34,retail,2022-11-04,registered,high
MBCC454C5,wholesale,2020-02-21,unregistered,high
M9474B174,restaurant,2020-06-28,registered,medium
M2398EA88,restaurant,2024-02-21,registered,low
M553DFEE4,restaurant,2023-10-24,registered,low
M3145F2CC,retail,2023-10-19,registered,medium
M1F3EA286,restaurant,2021-08-24,unregistered,high
MD63CEF1A,restaurant,2021-03-18,unregistered,medium
M90D87B7A,online,2022-04-17,registered,low
MB65B53F7,retail,2021-02-07,registered,high
MAF400918,retail,2020-08-07,registered,medium
MEDAA8469,restaurant,2023-10-03,registered,low
M310899E9,wholesale,2020-12-18,registered,high
M4A919F57,retail,2020-12-25,unregistered,low
M7E802F7E,service,2021-10-09,registered,high
MD8643BAC,wholesale,2023-07-29,registered,medium
M3760783E,online,2023-04-14,unregistered,low
